id,short_name,full_name,birth,birth_approximate,death,death_approximate,description,
homer,Homer,Homer,c. 8th century BCE,TRUE,c. 7th century BCE,TRUE,"Author of the epic poems the Iliad and the Odyssey, two of the earliest and most foundational literary works of Greek culture, which center on the mythical Trojan War and the homeward journeys of the Greek heroes after their victory at Troy. Although these are traditional and mythical stories, they are meant to be relevant to their audiences, and so often reference ideas that would be familiar to their audience. Thus, many aspects of the society depicted in the two Homeric epics describe the real world of the 9 th and 8 th centuries BCE."
hesiod,Hesiod,Hesiod,c. 8th century BCE,TRUE,c. 7th century BCE,TRUE,"One of the earliest Greek poets, from the village of Ascra in Boeotia. He wrote the Theogony, a mythical compendium about the origins of the gods, and the Works and Days, an embittered complaint directed at his brother, Perses, which tries to teach him about how to get ahead in life and the way the world should work (but often doesn’t)."
mimnermus,Mimnermus,Mimnermus,c. 7th century BCE,TRUE,c. 7th-6th century BCE,TRUE,"One of the earliest writers of elegaic poetry (and therefore part of the broader category of lyric poets), from the Greek city of Colophon in Asia Minor in the second half of the 7th century BCE."
inscriptions,Inscriptions,Inscriptions,,,,,"Inscriptions, also referred to as epigraphy or epigraphic evidence, are texts carved into an object, most often stone but also bronze, clay, or other materials, which have survived to the present day. Inscriptions are particularly valuable because they represent contemporary evidence, not filtered through the biases of a later author (although inscriptions can certainly contain other biases). However, they are often difficult to work with because many inscriptions are broken and therefore the text is incomplete, and because they often lack a secure context to help interpret them."
herodotus,Herodotus,Herodotus,c. 484 BCE,TRUE,c. 425 BCE,TRUE,"The earliest Greek historian. Born in Halicarnassus in Asia Minor, he traveled around the Mediterranean, including to Egypt, Athens, and southern Italy. His work focuses loosely around the Persian Wars and their origins, but also includes an enormous range of other material of all kinds, including ethnographic descriptions of foreign peoples and oral traditions about past events in Greece and elsewhere. Not all of these stories are trustworthy; nevertheless, Herodotus claims to have carefully sifted through the material he discovered to establish the truth about the past."
thucydides,Thucydides,Thucydides,c. 460 BCE,TRUE,c. 400 BCE,TRUE,"Author of the History of the Peloponnesian War, who lived during the war itself and even fought in it. Although he was an Athenian, he does not have a conspicuously pro-Athenian bias, because he was exiled in 424; this enabled him to speak to participants on all sides of the conflict. He claims that his critical methodology allowed him to write with pure objectivity. However, he also frequently employs literary devices like juxtaposition and significant omission in order to make his narrative persuasively argue for his interpretation of history, an agenda that can sometimes distort the record."
strabo,Strabo,Strabo,c. 64/3 BCE,TRUE,c. 24 AD,TRUE,"The writer of an enormous description of the whole Mediterranean world, the Geography, which includes not only descriptions of cities and regions but also something of their histories and cultures. Writing largely in Rome under the early emperors, Strabo had access to well-stocked libraries and often cites his sources, meaning that he preserves information from many writers whose works are otherwise lost."
antiochus_of_syracuse,Antiochus of Syracuse,Antiochus of Syracuse,c. 5th century BCE,TRUE,c. 5th century BCE,TRUE,"Author of a work on the history of Sicily and southern Italy, beginning from the mythical period, through the era of Greek colonization, and concluding in the year 424 BCE. Preserved only in fragments."
ephorus,Ephorus,Ephorus,c. 400 BCE,TRUE,c. 3rd century BCE,TRUE,"One of the major lost historians of ancient Greece, whose works we have only in fragments quoted by later writers. Hailing from Cyme in Asia Minor, Ephorus wrote a comprehensive history of the whole world from the late mythical period through his own time."
